order_id,order_date,order_time,customer_id,customer_segment,loyalty_years,region,state,product_category,product_subcategory,sku,metal_type,stone_type,unit_price,quantity,subtotal,discount_percent,discount_amount,tax_rate,tax_amount,shipping_fee,gift_wrap_fee,engraving_fee,insurance_fee,order_total,is_gift,has_engraving,has_insurance,marketing_channel,sales_channel,payment_method,order_status,nps_score
ORD-20250323-010012,2025-03-23,16:28:37,CMS-8BE8D5F3,Regular,2.6,Northeast,MA,Necklaces,Layering,NEC-LAY-87037,14K Gold,Pearl,3992.99,2,7985.98,0.1,798.6,0.08,638.88,0,0,0,159.72,7985.98,False,False,True,Organic Search,Boutique Stores,Credit Card,Delivered,7.0
ORD-20251224-010013,2025-12-24,16:50:59,CMS-A0D86ABE,Premium,5.7,West,CA,Wedding Bands,Custom,WED-CUS-99034,18K Yellow Gold,Sapphire,5056.14,2,10112.29,0.0,0.0,0.075,758.42,0,25,0,202.25,11097.96,True,False,True,Organic Search,Boutique Stores,Wire Transfer,Shipped,
ORD-20250523-010014,2025-05-23,21:49:44,CMS-C1B990E1,Occasional,2.8,Northeast,NJ,Engagement Rings,Solitaire,ENG-SOL-20990,Platinum,Moissanite,5186.45,1,5186.45,0.0,0.0,0.08,414.92,0,0,75,0.0,5676.37,False,True,False,Email,Website,Credit Card,Delivered,9.0
ORD-20250622-010015,2025-06-22,20:26:47,CMS-AF1EA7C5,Regular,3.3,West,OR,Engagement Rings,Pavé,ENG-PAV-24317,Platinum,Moissanite,6331.85,1,6331.85,0.0,0.0,0.075,474.89,0,0,0,126.64,6933.38,False,False,True,Organic Search,Phone/Concierge,Credit Card,Delivered,9.0
ORD-20250714-010016,2025-07-14,12:14:07,CMS-C054B638,Premium,2.4,International,INT,Bracelets,Cuff,BRA-CUF-56737,Platinum,Sapphire,4589.92,1,4589.92,0.0,0.0,0.0,0.0,0,0,75,0.0,4664.92,False,True,False,Organic Search,Flagship Store,Wire Transfer,Delivered,10.0
ORD-20250626-010017,2025-06-26,11:52:54,CMS-3D9DABE5,Occasional,0.4,Northeast,CT,Earrings,Chandelier,EAR-CHA-57249,Platinum,Emerald,2017.68,1,2017.68,0.0,0.0,0.08,161.41,0,25,0,0.0,2204.09,True,False,False,Organic Search,Website,Credit Card,Delivered,7.0
ORD-20251002-010018,2025-10-02,15:20:58,CMS-EE10AA55,New,0.7,West,OR,Bracelets,Tennis,BRA-TEN-14827,14K Gold,Diamond,4980.11,1,4980.11,0.0,0.0,0.075,373.51,0,0,0,0.0,5353.62,False,False,False,Affiliate,Website,Credit Card,Shipped,
ORD-20250713-010019,2025-07-13,08:53:10,CMS-EBA9940B,Regular,1.1,West,WA,Gifts & Accessories,Ring Holder,GIF-RIN-46749,N/A,N/A,647.77,1,647.77,0.0,0.0,0.075,48.58,25,0,0,0.0,721.35,False,False,False,Display Ads,Website,Financing,Delivered,9.0
ORD-20250210-010020,2025-02-10,19:43:25,CMS-ECB47FBB,Occasional,1.4,West,CA,Wedding Bands,Diamond,WED-DIA-96802,Platinum,Diamond,1492.46,1,1492.46,0.0,0.0,0.075,111.93,0,0,75,0.0,1679.39,False,True,False,Referral,Flagship Store,Credit Card,Delivered,9.0
ORD-20251118-010021,2025-11-18,12:37:29,CMS-B73DD7AA,Occasional,1.5,West,OR,Earrings,Drop,EAR-DRO-92182,18K White Gold,Emerald,6967.02,3,20901.05,0.0,0.0,0.075,1567.58,0,0,75,0.0,22543.63,False,True,False,Social Media,Website,Credit Card,Delivered,9.0
ORD-20251227-010022,2025-12-27,12:09:27,CMS-FD1D25ED,Premium,5.5,West,OR,Earrings,Hoops,EAR-HOO-44168,Platinum,Sapphire,4430.53,1,4430.53,0.1,443.05,0.075,332.29,0,0,0,0.0,4319.77,True,False,False,Paid Search,Website,Credit Card,Returned,6.0
ORD-20250205-010023,2025-02-05,22:25:57,CMS-E71FC4C3,Premium,3.8,Southwest,CO,Earrings,Huggie,EAR-HUG-61239,18K Yellow Gold,Pearl,5130.34,1,5130.34,0.0,0.0,0.0625,320.65,0,0,0,0.0,5450.99,False,False,False,Direct,Website,Credit Card,Delivered,6.0
ORD-20250210-010024,2025-02-10,09:33:35,CMS-B70B811E,Occasional,1.9,International,INT,Earrings,Chandelier,EAR-CHA-62247,18K White Gold,Diamond,1642.12,1,1642.12,0.0,0.0,0.0,0.0,0,0,0,0.0,1642.12,False,False,False,Paid Search,Private Appointment,Wire Transfer,Delivered,8.0
ORD-20250714-010025,2025-07-14,17:55:31,CMS-5946AB29,New,0.1,Midwest,WI,Fine Watches,Limited Edition,FIN-LIM-31103,Stainless Steel,None,15782.6,1,15782.6,0.2,3156.52,0.07,1104.78,0,0,0,315.65,14046.51,False,False,True,Organic Search,Website,PayPal,Delivered,9.0
ORD-20250523-010026,2025-05-23,16:46:22,CMS-FDCADDCD,Premium,2.9,Northeast,MA,Bracelets,Charm,BRA-CHA-46756,14K Gold,Ruby,6426.74,1,6426.74,0.0,0.0,0.08,514.14,0,0,0,128.53,7069.41,True,False,True,Display Ads,Boutique Stores,Financing,Delivered,9.0
ORD-20250706-010027,2025-07-06,12:00:55,CMS-5C7FB23F,Premium,4.1,Southwest,OK,Earrings,Hoops,EAR-HOO-96513,18K Yellow Gold,Pearl,2789.63,1,2789.63,0.0,0.0,0.0625,174.35,0,0,0,0.0,2963.98,False,False,False,Direct,Website,Financing,Processing,
ORD-20250701-010028,2025-07-01,15:41:27,CMS-5D00E67B,Premium,3.9,Northeast,CT,Earrings,Drop,EAR-DRO-14578,14K Gold,Pearl,5984.99,1,5984.99,0.0,0.0,0.08,478.8,0,0,0,119.7,6583.49,False,False,True,Affiliate,Website,Apple Pay,Delivered,8.0
ORD-20250517-010029,2025-05-17,20:08:28,CMS-0059C2CE,New,1.0,Southwest,NM,Gifts & Accessories,Care Kit,GIF-CAR-14492,N/A,N/A,705.03,3,2115.09,0.0,0.0,0.0625,132.19,0,0,0,0.0,2247.28,False,False,False,Social Media,Flagship Store,Credit Card,Delivered,10.0
ORD-20251216-010030,2025-12-16,16:59:28,CMS-AB62BFB7,Premium,6.9,Midwest,MI,Fine Watches,Sport,FIN-SPO-88610,18K Yellow Gold,Diamond,25582.99,2,51165.98,0.0,0.0,0.07,3581.62,0,0,0,0.0,54747.6,False,False,False,Organic Search,Flagship Store,Credit Card,Delivered,7.0
ORD-20251108-010031,2025-11-08,08:51:34,CMS-D685F5B9,Regular,3.9,Southeast,NC,Engagement Rings,Three-Stone,ENG-THR-62961,18K White Gold,Diamond,11102.8,1,11102.8,0.0,0.0,0.065,721.68,0,0,0,0.0,11824.48,False,False,False,Organic Search,Flagship Store,Apple Pay,Delivered,7.0
ORD-20251001-010032,2025-10-01,09:47:26,CMS-BD085185,New,0.8,West,WA,Gifts & Accessories,Gift Card,GIF-GIF-17376,N/A,N/A,2403.55,1,2403.55,0.0,0.0,0.075,180.27,0,25,0,0.0,2608.82,True,False,False,Paid Search,Website,Apple Pay,Cancelled,
ORD-20250325-010033,2025-03-25,16:18:35,CMS-CD9EB5F1,VIP Elite,5.9,Northeast,NJ,Earrings,Huggie,EAR-HUG-48328,Platinum,Emerald,6774.13,1,6774.13,0.05,338.71,0.08,541.93,0,0,75,135.48,7187.83,False,True,True,Organic Search,Website,Credit Card,Delivered,9.0
ORD-20251124-010034,2025-11-24,09:45:33,CMS-F914D0CD,Regular,1.6,West,OR,Engagement Rings,Halo,ENG-HAL-72803,Platinum,Lab Diamond,8839.19,2,17678.38,0.0,0.0,0.075,1325.88,0,0,0,353.57,19357.83,False,False,True,Organic Search,Website,Wire Transfer,Delivered,8.0
ORD-20251219-010035,2025-12-19,13:28:55,CMS-FC192B0C,Regular,3.8,West,NV,Engagement Rings,Three-Stone,ENG-THR-33591,18K Yellow Gold,Moissanite,22631.04,1,22631.04,0.0,0.0,0.075,1697.33,0,0,0,0.0,24328.37,False,False,False,Email,Private Appointment,Credit Card,Delivered,7.0
ORD-20251217-010036,2025-12-17,15:57:25,CMS-7597B648,New,0.8,Northeast,CT,Earrings,Chandelier,EAR-CHA-71833,18K White Gold,Sapphire,1885.72,1,1885.72,0.0,0.0,0.08,150.86,0,0,0,0.0,2036.58,True,False,False,Social Media,Website,Credit Card,Shipped,
ORD-20250129-010037,2025-01-29,17:18:46,CMS-CAB0C140,Regular,3.2,Midwest,IL,Engagement Rings,Three-Stone,ENG-THR-82416,18K White Gold,Diamond,16651.2,1,16651.2,0.0,0.0,0.07,1165.58,0,0,0,0.0,17816.78,False,False,False,Email,Boutique Stores,Credit Card,Returned,7.0
ORD-20250725-010038,2025-07-25,19:59:46,CMS-1FAA9317,VIP Elite,9.5,West,WA,Wedding Bands,Eternity,WED-ETE-63869,18K Yellow Gold,Diamond,2312.29,1,2312.29,0.05,115.61,0.075,173.42,0,0,0,0.0,2370.1,True,False,False,Social Media,Website,Financing,Delivered,7.0
ORD-20250518-010039,2025-05-18,10:36:58,CMS-F0EF4E77,Premium,3.0,International,INT,Engagement Rings,Vintage,ENG-VIN-83003,18K Yellow Gold,Diamond,10294.8,2,20589.6,0.0,0.0,0.0,0.0,0,0,0,411.79,21001.39,False,False,True,Organic Search,Website,Credit Card,Delivered,9.0
ORD-20250611-010040,2025-06-11,11:17:42,CMS-7740E4A7,Regular,2.7,West,CA,Necklaces,Pendant,NEC-PEN-19038,14K Gold,None,5561.33,1,5561.33,0.0,0.0,0.075,417.1,0,0,0,111.23,6089.66,False,False,True,Organic Search,Boutique Stores,Wire Transfer,Delivered,8.0
ORD-20250419-010041,2025-04-19,12:25:35,CMS-D9D6BDD4,Regular,1.5,Midwest,MN,Earrings,Studs,EAR-STU-31118,18K White Gold,Diamond,5381.45,1,5381.45,0.0,0.0,0.07,376.7,0,25,0,0.0,5783.15,True,False,False,Referral,Boutique Stores,Financing,Delivered,10.0
ORD-20251126-010042,2025-11-26,11:09:01,CMS-59DCE765,Regular,3.2,Northeast,NY,Gifts & Accessories,Travel Case,GIF-TRA-24926,N/A,N/A,1111.25,1,1111.25,0.0,0.0,0.08,88.9,0,25,0,0.0,1225.15,True,False,False,Organic Search,Website,PayPal,Delivered,8.0
ORD-20250823-010043,2025-08-23,11:05:03,CMS-D2804BDA,New,0.7,Southeast,VA,Wedding Bands,Diamond,WED-DIA-28863,14K Gold,Sapphire,2959.8,1,2959.8,0.05,147.99,0.065,192.39,0,0,0,0.0,3004.2,False,False,False,Paid Search,Website,Credit Card,Delivered,6.0
ORD-20250313-010044,2025-03-13,20:13:48,CMS-BCF08B7E,New,0.3,Midwest,WI,Wedding Bands,Diamond,WED-DIA-61814,18K White Gold,None,2697.69,1,2697.69,0.0,0.0,0.07,188.84,0,25,0,0.0,2911.53,True,False,False,Direct,Website,Wire Transfer,Shipped,
ORD-20251015-010045,2025-10-15,20:33:20,CMS-644C87DA,Regular,1.7,West,AZ,Engagement Rings,Three-Stone,ENG-THR-89012,18K Yellow Gold,Moissanite,7162.0,1,7162.0,0.0,0.0,0.075,537.15,0,0,0,143.24,7842.39,False,False,True,Social Media,Phone/Concierge,Wire Transfer,Delivered,9.0
ORD-20251027-010046,2025-10-27,11:56:31,CMS-F469EDBF,Regular,2.7,Northeast,NJ,Earrings,Studs,EAR-STU-88939,14K Gold,Emerald,2595.56,1,2595.56,0.1,259.56,0.08,207.64,0,0,0,0.0,2543.64,False,False,False,Affiliate,Website,PayPal,Delivered,10.0
ORD-20251026-010047,2025-10-26,11:25:26,CMS-0B0D4CB8,New,0.6,West,AZ,Mens Jewelry,Chains,MEN-CHA-90508,Sterling Silver,Diamond,1957.11,1,1957.11,0.0,0.0,0.075,146.78,0,0,0,0.0,2103.89,True,False,False,Organic Search,Website,Financing,Delivered,7.0
ORD-20250312-010048,2025-03-12,12:06:50,CMS-5918A5A6,VIP Elite,9.9,West,OR,Engagement Rings,Solitaire,ENG-SOL-50561,18K Yellow Gold,Moissanite,46653.46,1,46653.46,0.05,2332.67,0.075,3499.01,0,0,0,933.07,48752.87,False,False,True,Email,Website,Credit Card,Delivered,9.0
ORD-20250918-010049,2025-09-18,09:13:53,CMS-A99F1451,Regular,4.7,Southwest,CO,Bracelets,Bangle,BRA-BAN-58357,18K Yellow Gold,None,5414.77,1,5414.77,0.0,0.0,0.0625,338.42,0,0,0,0.0,5753.19,False,False,False,Paid Search,Website,Apple Pay,Delivered,5.0
ORD-20250320-010050,2025-03-20,12:19:14,CMS-3806C53C,VIP Elite,10.3,Midwest,WI,Engagement Rings,Vintage,ENG-VIN-39441,18K Rose Gold,Lab Diamond,11389.2,2,22778.4,0.0,0.0,0.07,1594.49,0,0,0,455.57,24828.46,False,False,True,Organic Search,Phone/Concierge,Wire Transfer,Delivered,9.0
ORD-20251118-010051,2025-11-18,20:48:58,CMS-197DC2C9,New,0.6,Southeast,VA,Gifts & Accessories,Care Kit,GIF-CAR-10936,N/A,N/A,1119.46,1,1119.46,0.0,0.0,0.065,72.76,0,0,0,0.0,1192.22,False,False,False,Direct,Website,Credit Card,Delivered,9.0
ORD-20251215-010052,2025-12-15,21:14:38,CMS-62B13042,Regular,2.6,West,WA,Mens Jewelry,Rings,MEN-RIN-20870,18K Yellow Gold,Onyx,2177.63,1,2177.63,0.0,0.0,0.075,163.32,0,0,0,0.0,2340.95,True,False,False,Email,Flagship Store,Credit Card,Delivered,10.0
ORD-20250202-010053,2025-02-02,13:15:55,CMS-D64F6E49,New,0.2,Southeast,NC,Earrings,Chandelier,EAR-CHA-60751,18K White Gold,Emerald,2475.08,1,2475.08,0.0,0.0,0.065,160.88,0,0,0,0.0,2635.96,False,False,False,Paid Search,Website,PayPal,Delivered,10.0
ORD-20250928-010054,2025-09-28,08:30:58,CMS-C4E4E582,VIP Elite,14.0,Northeast,NY,Engagement Rings,Three-Stone,ENG-THR-24517,Platinum,Diamond,37338.47,2,74676.93,0.15,11201.54,0.08,5974.15,0,25,0,0.0,69474.54,True,False,False,Direct,Website,Apple Pay,Delivered,9.0
ORD-20250106-010055,2025-01-06,13:32:51,CMS-9F17B994,Regular,3.5,West,NV,Wedding Bands,Diamond,WED-DIA-47435,14K Gold,Diamond,5626.24,1,5626.24,0.0,0.0,0.075,421.97,0,0,0,112.52,6160.73,False,False,True,Referral,Website,Credit Card,Delivered,10.0
ORD-20251215-010056,2025-12-15,20:24:22,CMS-F5A96340,New,0.3,Southwest,CO,Engagement Rings,Solitaire,ENG-SOL-10593,18K White Gold,Moissanite,22302.47,1,22302.47,0.0,0.0,0.0625,1393.9,0,25,0,446.05,24167.42,True,False,True,Paid Search,Website,Credit Card,Delivered,10.0
ORD-20251216-010057,2025-12-16,19:54:11,CMS-5CC8A1C9,Regular,2.1,Northeast,NJ,Earrings,Drop,EAR-DRO-15318,Platinum,None,2445.17,1,2445.17,0.0,0.0,0.08,195.61,0,0,0,0.0,2640.78,False,False,False,Paid Search,Website,Credit Card,Delivered,7.0
ORD-20250517-010058,2025-05-17,18:49:03,CMS-E558B407,Regular,1.8,Northeast,NJ,Gifts & Accessories,Jewelry Box,GIF-JEW-82108,N/A,N/A,873.89,2,1747.78,0.05,87.39,0.08,139.82,0,0,0,0.0,1800.21,False,False,False,Paid Search,Boutique Stores,Credit Card,Delivered,10.0
ORD-20250624-010059,2025-06-24,17:08:51,CMS-9BB0B699,Premium,6.1,Southeast,VA,Fine Watches,Limited Edition,FIN-LIM-57777,18K White Gold,None,34932.1,3,104796.29,0.0,0.0,0.065,6811.76,0,0,0,0.0,111608.05,False,False,False,Email,Website,Wire Transfer,Delivered,7.0
ORD-20250811-010060,2025-08-11,19:41:34,CMS-E2A7555F,Premium,3.7,Northeast,NJ,Mens Jewelry,Bracelets,MEN-BRA-48098,Sterling Silver,Onyx,5732.98,1,5732.98,0.0,0.0,0.08,458.64,0,0,0,114.66,6306.28,False,False,True,Paid Search,Website,Credit Card,Delivered,10.0
ORD-20250515-010061,2025-05-15,17:58:45,CMS-F12A59FD,Regular,3.7,Northeast,NJ,Fine Watches,Sport,FIN-SPO-49933,18K White Gold,None,17470.36,1,17470.36,0.0,0.0,0.08,1397.63,0,0,0,349.41,19217.4,False,False,True,Paid Search,Boutique Stores,Financing,Delivered,9.0
ORD-20250917-010062,2025-09-17,21:38:44,CMS-84764750,VIP Elite,13.5,Southeast,FL,Bracelets,Chain,BRA-CHA-72491,18K White Gold,Diamond,7618.89,2,15237.77,0.15,2285.67,0.065,990.46,0,25,0,304.76,14272.32,True,False,True,Organic Search,Boutique Stores,PayPal,Delivered,10.0
ORD-20250224-010063,2025-02-24,19:49:39,CMS-2FF7A931,New,0.2,Southwest,OK,Fine Watches,Dress,FIN-DRE-76095,Stainless Steel,None,11916.6,2,23833.2,0.0,0.0,0.0625,1489.58,0,0,0,476.66,25799.44,False,False,True,Direct,Website,Wire Transfer,Delivered,9.0
ORD-20250602-010064,2025-06-02,14:40:08,CMS-BAEDB748,Premium,3.8,Northeast,CT,Earrings,Huggie,EAR-HUG-23919,14K Gold,None,2727.28,1,2727.28,0.0,0.0,0.08,218.18,0,25,75,0.0,3045.46,True,True,False,Direct,Website,Wire Transfer,Shipped,
ORD-20250917-010065,2025-09-17,21:32:43,CMS-08DDA5E6,Regular,2.0,Southeast,TN,Mens Jewelry,Tie Bars,MEN-TIE-99808,18K White Gold,None,3963.16,1,3963.16,0.0,0.0,0.065,257.61,0,25,0,0.0,4245.77,True,False,False,Organic Search,Boutique Stores,Credit Card,Delivered,7.0
ORD-20250320-010066,2025-03-20,17:30:27,CMS-AEBF1E76,Premium,5.0,West,CA,Engagement Rings,Pavé,ENG-PAV-76036,Platinum,Lab Diamond,39403.41,1,39403.41,0.0,0.0,0.075,2955.26,0,25,0,0.0,42383.67,True,False,False,Organic Search,Website,Credit Card,Delivered,10.0
ORD-20250324-010067,2025-03-24,19:59:32,CMS-D5061CC3,VIP Elite,7.1,West,AZ,Engagement Rings,Three-Stone,ENG-THR-72233,18K Rose Gold,Diamond,26527.47,1,26527.47,0.1,2652.75,0.075,1989.56,0,25,0,530.55,26419.83,True,False,True,Organic Search,Private Appointment,Credit Card,Delivered,10.0
ORD-20251103-010068,2025-11-03,11:07:24,CMS-CBA2A355,VIP Elite,7.4,Southwest,TX,Bracelets,Charm,BRA-CHA-31032,14K Gold,Ruby,13807.68,1,13807.68,0.0,0.0,0.0625,862.98,0,0,0,276.15,14946.81,False,False,True,Email,Website,Financing,Delivered,6.0
ORD-20250615-010069,2025-06-15,09:29:02,CMS-49AF6C4E,Regular,2.3,West,AZ,Wedding Bands,Custom,WED-CUS-38961,18K White Gold,Diamond,4025.94,1,4025.94,0.0,0.0,0.075,301.95,0,0,0,0.0,4327.89,False,False,False,Organic Search,Website,Financing,Delivered,9.0
ORD-20250227-010070,2025-02-27,12:09:28,CMS-4ED839F8,Premium,2.1,Southwest,NM,Necklaces,Choker,NEC-CHO-16476,Sterling Silver,Emerald,4867.25,1,4867.25,0.0,0.0,0.0625,304.2,0,0,0,0.0,5171.45,False,False,False,Organic Search,Private Appointment,Wire Transfer,Delivered,9.0
ORD-20250607-010071,2025-06-07,12:31:22,CMS-7D3ED3E7,Premium,6.0,Northeast,NY,Wedding Bands,Diamond,WED-DIA-48334,Platinum,Diamond,5367.28,1,5367.28,0.0,0.0,0.08,429.38,0,25,0,0.0,5821.66,True,False,False,Social Media,Website,Crypto,Delivered,9.0
ORD-20250210-010072,2025-02-10,14:07:33,CMS-7B21E10F,New,0.4,Northeast,CT,Engagement Rings,Vintage,ENG-VIN-67489,18K White Gold,Diamond,30207.06,1,30207.06,0.0,0.0,0.08,2416.56,0,0,0,604.14,33227.76,False,False,True,Organic Search,Flagship Store,Apple Pay,Delivered,8.0
ORD-20250213-010073,2025-02-13,13:52:44,CMS-8866D39D,VIP Elite,12.5,Southeast,GA,Mens Jewelry,Chains,MEN-CHA-70528,18K White Gold,Onyx,4754.07,1,4754.07,0.0,0.0,0.065,309.01,0,0,75,0.0,5138.08,False,True,False,Social Media,Private Appointment,PayPal,Delivered,9.0
ORD-20250930-010074,2025-09-30,13:57:35,CMS-52660FD5,Regular,3.4,West,WA,Bracelets,Charm,BRA-CHA-79661,Platinum,Sapphire,9970.63,1,9970.63,0.0,0.0,0.075,747.8,0,25,0,0.0,10743.43,True,False,False,Display Ads,Boutique Stores,Financing,Delivered,9.0
ORD-20250306-010075,2025-03-06,18:35:29,CMS-55ADADBA,New,0.0,West,AZ,Engagement Rings,Pavé,ENG-PAV-19268,18K Yellow Gold,Lab Diamond,3920.0,1,3920.0,0.0,0.0,0.075,294.0,0,0,0,0.0,4214.0,False,False,False,Organic Search,Phone/Concierge,Credit Card,Delivered,10.0
ORD-20250326-010076,2025-03-26,19:32:16,CMS-EA117E04,Regular,3.5,Northeast,CT,Engagement Rings,Vintage,ENG-VIN-38279,18K White Gold,Moissanite,22623.78,1,22623.78,0.0,0.0,0.08,1809.9,0,0,0,452.48,24886.16,False,False,True,Email,Boutique Stores,Financing,Delivered,7.0
ORD-20250516-010077,2025-05-16,08:39:29,CMS-CA97F360,Regular,4.5,Southeast,FL,Wedding Bands,Eternity,WED-ETE-66931,14K Gold,Sapphire,3509.47,1,3509.47,0.0,0.0,0.065,228.12,0,25,75,0.0,3837.59,True,True,False,Referral,Boutique Stores,Credit Card,Delivered,7.0
ORD-20251107-010078,2025-11-07,12:19:33,CMS-76C073D8,Regular,3.9,West,OR,Earrings,Hoops,EAR-HOO-52992,18K Yellow Gold,Sapphire,3203.42,2,6406.85,0.0,0.0,0.075,480.51,0,0,0,0.0,6887.36,False,False,False,Paid Search,Phone/Concierge,Credit Card,Delivered,8.0
ORD-20251220-010079,2025-12-20,17:11:12,CMS-9C80C2B5,Occasional,0.2,Southeast,VA,Necklaces,Pendant,NEC-PEN-56183,Platinum,None,4748.97,1,4748.97,0.0,0.0,0.065,308.68,0,0,0,0.0,5057.65,False,False,False,Organic Search,Flagship Store,Wire Transfer,Delivered,7.0
ORD-20250413-010080,2025-04-13,09:19:25,CMS-1019C809,Occasional,0.5,Northeast,NY,Necklaces,Choker,NEC-CHO-66087,Sterling Silver,Emerald,1679.11,1,1679.11,0.0,0.0,0.08,134.33,0,0,0,0.0,1813.44,False,False,False,Social Media,Private Appointment,Wire Transfer,Delivered,6.0
ORD-20251129-010081,2025-11-29,16:19:04,CMS-7F52D05B,Premium,4.0,West,NV,Earrings,Huggie,EAR-HUG-91500,Platinum,Emerald,4444.06,1,4444.06,0.0,0.0,0.075,333.3,0,25,0,0.0,4802.36,True,False,False,Organic Search,Flagship Store,Crypto,Delivered,9.0
ORD-20250711-010082,2025-07-11,13:48:59,CMS-ABB451A1,Regular,1.2,West,NV,Earrings,Huggie,EAR-HUG-34441,Platinum,Pearl,4447.22,1,4447.22,0.0,0.0,0.075,333.54,0,25,75,0.0,4880.76,True,True,False,Paid Search,Website,Financing,Delivered,10.0
ORD-20250922-010083,2025-09-22,16:10:20,CMS-9EB39F49,Occasional,2.1,Midwest,WI,Engagement Rings,Three-Stone,ENG-THR-99298,18K Yellow Gold,Diamond,28265.35,1,28265.35,0.0,0.0,0.07,1978.57,0,0,0,0.0,30243.92,False,False,False,Email,Website,Financing,Delivered,10.0
ORD-20250507-010084,2025-05-07,11:49:38,CMS-A41B7C18,New,0.2,West,AZ,Gifts & Accessories,Care Kit,GIF-CAR-19532,N/A,N/A,734.68,1,734.68,0.0,0.0,0.075,55.1,25,0,75,0.0,889.78,False,True,False,Paid Search,Flagship Store,Credit Card,Returned,5.0
ORD-20250623-010085,2025-06-23,16:28:35,CMS-E5A55CA0,VIP Elite,6.7,West,WA,Engagement Rings,Solitaire,ENG-SOL-39404,18K Yellow Gold,Diamond,18355.68,1,18355.68,0.0,0.0,0.075,1376.68,0,0,0,367.11,20099.47,True,False,True,Email,Website,Credit Card,Delivered,10.0
